title,price,location,area,bathrooms,bedrooms,price_per_sqm
For Rent: 2 Bedroom Apartment | 2 Bathrooms | 1 Reception | Parking,750.0,"The Wave (Almouj), Muscat•",115.0,2.0,2.0,6.521739130434782
SHATTI AL QURM | OFFICE SPACES IN A PRESTIGIOUS AREA,1600.0,"Qurum, Muscat•",250.0,2.0,2.0,6.4
MADINAT QABOOS | SPACIOUS 6+2 BR FULLY FURNISHED VILLA,1299.0,"Madinat As Sultan Qaboos, Muscat•",365.0,9.0,8.0,3.558904109589041
600 SQM Showroom for Rent at Azaiba with Amenities Nearby,4800.0,"Azaiba, Muscat•",600.0,2.0,2.0,8.0
895 SQM Vibrant Office Spaces in Azaiba,4680.0,"Azaiba, Muscat•",895.0,2.0,2.0,5.229050279329609
109 SQM Office Space Available in Muscat Hills for RENT!,763.0,"Muscat Hills, Muscat•",109.0,2.0,2.0,7.0
193 SQ M Smart Office in Bausher,1544.0,"Bosher, Muscat•",193.0,2.0,2.0,8.0
"Fully Furnished 2-Bedroom Apartment with Marina View for Rent , Almouj",1100.0,"The Wave (Almouj), Muscat•",135.0,2.0,2.0,8.148148148148149
MADINAT AL ILAM | AMAZING 4 BR COMPOUND VILLA FOR RENT,799.0,"Madinat As Sultan Qaboos, Muscat•",325.0,4.0,4.0,2.4584615384615383
5 Bedroom Spacious Villa for Rent in Almouj Muscat,1950.0,"The Wave (Almouj), Muscat•",495.0,8.0,5.0,3.9393939393939394
AL MOUJ | AMAZING 3 BHK APARTMENT FOR RENT,900.0,"The Wave (Almouj), Muscat•",135.0,3.0,3.0,6.666666666666667
