title,price,location,area,bathrooms,bedrooms,price_per_sqm
غرفة نوم للايجار الشهري او للاستثمار,80.0,"Nizwa, Al Dakhiliya•",30.0,1.0,1.0,2.6666666666666665
من عنده شقة للايجار برجاء التواصل,500.0,"Al Maabilah, Muscat•",80.0,2.0,2.0,6.25
family bachelor available,125.0,"Azaiba, Muscat•",350.0,1.0,1.0,0.35714285714285715
شقق للايجار اليومي الموج موقع ممتاز معا اطلالة رائعة,50.0,"The Wave (Almouj), Muscat•",20.0,1.0,1.0,2.5
غرف للشباب الموالح الجنوبيه شامله المياه والكهرباء والانترنت,110.0,"Al Mawaleh, Muscat•",16.0,1.0,1.0,6.875
للإيجار فيلا في جميلة في المعبيلة الجنوبية,400.0,"Al Maabilah, Muscat•",320.0,5.0,4.0,1.25
فيلا جميله للايجار VILLA FOR RENT,1300.0,"Al Ghubrah, Muscat•",500.0,9.0,7.0,2.6
Room for rent in mabela industry area no6 behind,90.0,"Al Maabilah, Muscat•",25.0,1.0,1.0,3.6
sharing room available location al Khuwair,22.0,"Al Khuwair, Muscat•",20.0,1.0,2.0,1.1
غرفه للإيجار الشهري للموظفات أو الموظفين مستقلة,80.0,"Al Amarat, Muscat•",30.0,1.0,1.0,2.6666666666666665
Furnish Room Sepreate Bath For Single Person,95.0,"Al Wadi Al Kabir, Muscat•",30.0,1.0,1.0,3.1666666666666665
1 BHK for rent Near Mabelah Traffic Signal,150.0,"Al Maabilah, Muscat•",100.0,2.0,2.0,1.5
شقة مؤثثه بالكامل إيجار شهري.,200.0,"Al Khoud, Muscat•",80.0,2.0,1.0,2.5
Villa for Rent Maabelah,370.0,"Al Maabilah, Muscat•",600.0,3.0,5.0,0.6166666666666667
Room for rent,120.0,"Al Ghubrah, Muscat•",120.0,3.0,3.0,1.0
غرفة وحمام ومطبخ مفروش القرم بجوار حديقة القرم,180.0,"Qurum, Muscat•",50.0,1.0,1.0,3.6
استديوهات الموالح الجنوبيه قريب من ستي سنتر,120.0,"Al Mawaleh, Muscat•",30.0,1.0,1.0,4.0
فيلا جديده ونظيفه للايجار اليومي في صحلنوت متوفره من تاريخ ٣١/٧,90.0,"Salalah, Dhofar•",240.0,3.0,4.0,0.375
ملحق للايجار,115.0,"Al Mawaleh, Muscat•",40.0,1.0,1.0,2.875
شقه للايجار مرتفعات التاسعه,120.0,"Al Amarat, Muscat•",121.0,3.0,3.0,0.9917355371900827
فيلا حديثه . ومجهزه بالكامل متوفره حاليا  صحنوت بموقع ممتاز,85.0,"Salalah, Dhofar•",260.0,5.0,4.0,0.3269230769230769
Great room for rent in the heart of Salalah Nearby All maids,18.0,"Salalah, Dhofar•",30.0,1.0,1.0,0.6
ظفار/صحلنوت الشمالية,80.0,"Salalah, Dhofar•",600.0,5.0,4.0,0.13333333333333333
الموالح الجنوبيه,260.0,"Al Mawaleh, Muscat•",111.0,3.0,4.0,2.3423423423423424
3BHK for rent with big hall and 3bathroom,225.0,"Ruwi, Muscat•",1500.0,3.0,3.0,0.15
**منتجع الحياة - صلالة / صحنلوت**  **استمتع بإجازتك,100.0,"Salalah, Dhofar•",300.0,4.0,3.0,0.3333333333333333
شقه الموالح,280.0,"Al Mawaleh, Muscat•",100.0,2.0,2.0,2.8
شقه للايجار المعبيلة ثامنه,170.0,"Al Maabilah, Muscat•",130.0,3.0,3.0,1.3076923076923077
الخوير,160.0,"Al Khuwair, Muscat•",12.0,2.0,2.0,13.333333333333334
"Apartment for rent, including internet",200.0,"Al Khuwair, Muscat•",150.0,2.0,3.0,1.3333333333333333
1 bedroom hall kitchen,150.0,"Al Wadi Al Kabir, Muscat•",85.0,1.0,1.0,1.7647058823529411
غرفه وحمام ومطبخ الخوير خلف مجمع الياسمين وقريب فندق ريدسون بلو,180.0,"Al Khuwair, Muscat•",40.0,1.0,1.0,4.5
Room for rent 100rial,95.0,"Al Seeb, Muscat•",10.0,1.0,1.0,9.5
"Villas, Apartments and townhouses for Rent and Sale in Almouj",50.0,"The Wave (Almouj), Muscat•",10.0,5.0,5.0,5.0
bed spec available,50.0,"Al Khuwair, Muscat•",100.0,1.0,1.0,0.5
شقة الإيجار في الغبرة الشمالية,170.0,"Al Ghubrah, Muscat•",100.0,2.0,2.0,1.7
"seprate room and bathrom in shrd apartment rent 70+ eb,wifi,water chrg",70.0,"Ghala, Muscat•",10.0,1.0,1.0,7.0
room for rent غرف للايجار,120.0,"Ansab, Muscat•",100.0,10.0,10.0,1.2
A studio on a separate floor with a kitchen and a rooftop,150.0,"Al Mawaleh, Muscat•",70.0,1.0,1.0,2.142857142857143
آجار يومي فيلا السعادة الجنوبية قرب الخدمات,90.0,"Salalah, Dhofar•",300.0,5.0,6.0,0.3
شقه للايجار في السيب مكان هادئ وجميل,150.0,"Al Seeb, Muscat•",110.0,3.0,3.0,1.3636363636363635
شقة للايجار في مسقط العذيبة,145.0,"Azaiba, Muscat•",182.0,3.0,3.0,0.7967032967032966
شقق تائجير يومي,25.0,"Salalah, Dhofar•",66.0,2.0,2.0,0.3787878787878788
الوادي بجانب اللولو هايبر,17.0,"Salalah, Dhofar•",20.0,1.0,1.0,0.85
سوق الخوض التجاري,110.0,"Al Khoud, Muscat•",40.0,1.0,1.0,2.75
للإيجار ورش ومخزن جاهز,4500.0,"Misfah, Muscat•",3500.0,2.0,2.0,1.2857142857142858
معرض تجاري بالعذيبة للإيجار,2200.0,"Azaiba, Muscat•",800.0,2.0,2.0,2.75
Executive Bachelor Furnished Room,65.0,"Darsait, Muscat•",18.0,1.0,1.0,3.611111111111111
One room with attached toilet with sharing kitchen (Rawasco),120.0,"Al Khuwair, Muscat•",120.0,2.0,2.0,1.0
Furnished One room with attached toilet sharing kitchen,120.0,"Al Khuwair, Muscat•",118.0,1.0,1.0,1.0169491525423728
شقة مفروشة ٤ غرف,750.0,"Salalah, Dhofar•",200.0,3.0,4.0,3.75
5 BHK Villa for Rent in Madinat Al Ilam WA 76324666 LRV55_1,1400.0,"Madinat As Sultan Qaboos, Muscat•",600.0,7.0,6.0,2.3333333333333335
2BHK Townhouse For Rent in Madinat Qaboos WA 76324666 LRV54,425.0,"Madinat As Sultan Qaboos, Muscat•",300.0,2.0,2.0,1.4166666666666667
شقة للإيجار ف الوطية,180.0,"Qurum, Muscat•",150.0,2.0,3.0,1.2
ام عبيله الجنوبيه,210.0,"Al Maabilah, Muscat•",120.0,3.0,2.0,1.75
1 BHK Fully furnished for rent at Ghubra,275.0,"Al Ghubrah, Muscat•",80.0,1.0,1.0,3.4375
New flat for rent,100.0,"Al Hamriyah, Muscat•",100.0,1.0,1.0,1.0
شقة غرفة وصالة ومطبخ الحيل شارع البركات flat 1room 2bath 1 kitchen,180.0,"Al Hail, Muscat•",79.87,2.0,1.0,2.2536622010767497
المالك . للتواصل 99375578,100.0,"Barka, Al Batinah•",500.0,2.0,2.0,0.2
need roommate,35.0,"Madinat As Sultan Qaboos, Muscat•",100.0,2.0,2.0,0.35
غرفة للايجار في المعبيلة قريبة من مسقط مول,85.0,"Al Maabilah, Muscat•",30.0,1.0,1.0,2.8333333333333335
Bed Space Near City Centre Seeb,45.0,"Al Mawaleh, Muscat•",100.0,1.0,1.0,0.45
2BHK Apartment & 4BHK Villa in Qurum Near Crown Plaza 76324666 LRV20,350.0,"Bosher, Muscat•",120.0,2.0,2.0,2.9166666666666665
New 2BHK Duplex Apartment in Azaiba WA-76324666 LRA62,370.0,"Bosher, Muscat•",120.0,3.0,2.0,3.0833333333333335
2BHK Apartment For Rent in Qurum WA 76324666,220.0,"Qurum, Muscat•",140.0,2.0,2.0,1.5714285714285714
4BHK Compound Villa For Rent in Madinat Illam WA 76324666 LRV55,650.0,"Madinat As Sultan Qaboos, Muscat•",400.0,6.0,5.0,1.625
ضفار صلاله,60.0,"Salalah, Dhofar•",600.0,5.0,6.0,0.1
Looking for Flatmates,100.0,"Azaiba, Muscat•",150.0,2.0,2.0,0.6666666666666666
Boshar - Furnished Flat for Rent,270.0,"Bosher, Muscat•",250.0,2.0,3.0,1.08
room for rent in muttrah for 7months,120.0,"Mutrah, Muscat•",664.0,2.0,2.0,0.18072289156626506
شقه للايجار اليومي صلاله,50.0,"Salalah, Dhofar•",100.0,2.0,2.0,0.5
غرف مفروشه للايجار بمنطقة الخوير خلف بنك مسقط,130.0,"Al Khuwair, Muscat•",40.0,1.0,1.0,3.25
صلاله الجديدة,25.0,"Salalah, Dhofar•",83.0,2.0,2.0,0.30120481927710846
محل للايجار,70.0,"Sohar, Al Batinah•",1234.0,2.0,2.0,0.05672609400324149
Cozy Stay in Central Salalah | غرفة خاصة في وسط صلالة,15.0,"Salalah, Dhofar•",100.0,1.0,1.0,0.15
Private Room in Salalah | غرفة خاصة في صلالة,15.0,"Salalah, Dhofar•",100.0,1.0,1.0,0.15
Room with sharing bathroom for rent-Ladies only,130.0,"Al Khuwair, Muscat•",40.0,1.0,1.0,3.25
Renovated Flat for rent in Greater Mattrah before Oman House,95.0,"Mutrah, Muscat•",50.0,1.0,1.0,1.9
Elegant 5-Bedroom Villa in Gated Compound – Madinat Sultan Qaboos,900.0,"Madinat As Sultan Qaboos, Muscat•",350.0,7.0,5.0,2.5714285714285716
Apartments for Rent in Sohar  Al Multaqa Area,80.0,"Sohar, Al Batinah•",100.0,2.0,2.0,0.8
room for rent in barka for a shairing flat,80.0,"Barka, Al Batinah•",252.0,1.0,1.0,0.31746031746031744
ROOM FOR RENT,100.0,"Al Hail, Muscat•",15.0,1.0,1.0,6.666666666666667
مكتب للايجار مساحة 85متر مفتوح مع حمام و مطبخ,150.0,"Misfah, Muscat•",85.0,2.0,2.0,1.7647058823529411
فلة للاجار المعبيلة الجنوبيه المنطقه الثامنه,450.0,"Al Maabilah, Muscat•",400.0,7.0,5.0,1.125
Fantastic luxury apartment in Qurum,310.0,"Qurum, Muscat•",130.0,3.0,2.0,2.3846153846153846
Furnished Luxury Studio in Ghubrah استوديو فاخر مفروش للإيجار بالغبرة,360.0,"Al Ghubrah, Muscat•",200.0,2.0,1.0,1.8
فيلا فخمه للايجار,650.0,"Qurum, Muscat•",200.0,5.0,4.0,3.25
board game cafe,500.0,"Al Khuwair, Muscat•",150.0,2.0,2.0,3.3333333333333335
Executive Bachelor Bed Space For Rent - Keralite Preferred,65.0,"Al Ghubrah, Muscat•",25.0,1.0,1.0,2.6
محل للايجار في عبري,30.0,"Ibri, Al Dhahirah•",100.0,2.0,2.0,0.3
Luxury villa in Ansab فيلا راقيه في الانصب قريبه من كل الخدمات,500.0,"Ansab, Muscat•",350.0,7.0,6.0,1.4285714285714286
شامل الإنترنت والكهرباء والماء,250.0,"Bosher, Muscat•",100.0,1.0,1.0,2.5
شقة للإيجار صلاله الغربية,50.0,"Salalah, Dhofar•",90.0,1.0,2.0,0.5555555555555556
Single room available in Mabela,110.0,"Al Maabilah, Muscat•",500.0,2.0,2.0,0.22
Commercial Space for Rent in Shatti Al Qurum 10/163,1700.0,"Qurum, Muscat•",117.0,2.0,2.0,14.52991452991453
Office Space for RENT in Shatti Al Qurum,500.0,"Qurum, Muscat•",58.0,2.0,2.0,8.620689655172415
منطقة الغليلة 2 ولاية صور,100.0,"Sur, Al Sharqiya•",100.0,2.0,2.0,1.0
Wadi Kabir – 1 Room for Rent in Shared Flat – 90 OMR (All Inclusive),90.0,"Al Wadi Al Kabir, Muscat•",550.0,2.0,2.0,0.16363636363636364
Room For Rent Near Grandmall - Alkhuwair,100.0,"Al Khuwair, Muscat•",100.0,1.0,1.0,1.0
متاح للايجار استديو (غرفه + حمام + مطبخ ) مفروش  في العذيبه قريب المطا,100.0,"Azaiba, Muscat•",180.0,2.0,2.0,0.5555555555555556
غلا قريب هايبر ماركت الكرامة وبنك مسقط,185.0,"Ghala, Muscat•",68.0,2.0,2.0,2.7205882352941178
شقه للايجار ف صلاله,50.0,"Salalah, Dhofar•",120.0,2.0,2.0,0.4166666666666667
غرفة مفروشة مع حمام فقط. بولاية صور 7 ريال يوميا sur,50.0,"Sur, Al Sharqiya•",1111.0,1.0,1.0,0.045004500450045004
شقة للايجار بولاية صور المرتفع  _  sur almurtafa,180.0,"Sur, Al Sharqiya•",1111.0,3.0,3.0,0.162016201620162
فله راقيه في صحلنوت الشماليه للأيجار,80.0,"Salalah, Dhofar•",400.0,4.0,3.0,0.2
منزل للإيجار في صحم أم الجعاريف,180.0,"Saham, Al Batinah•",186.0,4.0,3.0,0.967741935483871
سكنات الطيب للموظفات والطالبات,55.0,"Bosher, Muscat•",500.0,8.0,8.0,0.11
One BEDROOM apartment in muscat (THE CAPITAL),550.0,"Al Ghubrah, Muscat•",95.0,1.0,1.0,5.7894736842105265
متوفره غرفه مستقله كجزء من شقه مع مطبخ وصاله مشترك,65.0,"Al Maabilah, Muscat•",400.0,3.0,2.0,0.1625
Room and bathroom for rent,100.0,"Al Amarat, Muscat•",25.0,1.0,1.0,4.0
Fully furnished studio apartment in an villa close to Azaiba beach.,300.0,"Azaiba, Muscat•",90.0,1.0,1.0,3.3333333333333335
cold store & refrigerator برادات,250.0,"Salalah, Dhofar•",250.0,2.0,2.0,1.0
cold store & refrigerator & برادات,250.0,"Salalah, Dhofar•",250.0,2.0,2.0,1.0
show rooms for rent mabella,320.0,"Al Maabilah, Muscat•",700.0,2.0,2.0,0.45714285714285713
شقة للعوايل العامرات المحج ب 130 ريال 4 rent flat,130.0,"Al Amarat, Muscat•",70.0,2.0,2.0,1.8571428571428572
Master Room for Rent in Al Khoudh (Souq),130.0,"Al Khoud, Muscat•",10.0,1.0,1.0,13.0
Master Room for Rent in Al Khoudh (Souq),140.0,"Al Khoud, Muscat•",10.0,1.0,1.0,14.0
شقة راقية للايجار اليومي والاسبوعي,50.0,"Salalah, Dhofar•",200.0,2.0,2.0,0.25
منزل للإيجار ولاية بركاء(الجحيلة) موقع ممتاز,155.0,"Barka, Al Batinah•",200.0,3.0,2.0,0.775
"Attached Room for Rent 45OMR,  contact 94530270",45.0,"Sur, Al Sharqiya•",30.0,1.0,1.0,1.5
شقة مفروشة للايجار مسقط المعبيلة الجنوبيه شاكله كهرباء ماء نت,220.0,"Al Maabilah, Muscat•",120.0,2.0,2.0,1.8333333333333333
1 Bedroom apartment for Rent in Al Mabailah,140.0,"Al Maabilah, Muscat•",55.0,1.0,1.0,2.5454545454545454
"separate room & bathroom in shrd apartment rent 70 + WiFi, EB and watr",70.0,"Ghala, Muscat•",10.0,1.0,1.0,7.0
شقه مفروشه للايجار لمده شهر واحد شامل الفواتير بشارع البركات,220.0,"Al Hail, Muscat•",110.0,2.0,1.0,2.0
Rooms for rent in Al Hail South near highway free WiFi,78.0,"Al Hail, Muscat•",16.0,1.0,1.0,4.875
شقق للايجار سكنى تجارى بموقع ممتاز بشارع المها,230.0,"Al Khuwair, Muscat•",90.0,2.0,2.0,2.5555555555555554
شقه مفروشه للعائلات فقط للإيجار الشهرى,290.0,"Al Khuwair, Muscat•",60.0,2.0,1.0,4.833333333333333
فيلا دورين للإيجار اليومي عشان خريف في صحلنوت الجنوبيه,75.0,"Salalah, Dhofar•",500.0,6.0,6.0,0.15
شقه وسويت شاغر من 7/26 الشقه شاغر من 8/6,25.0,"Salalah, Dhofar•",80.0,2.0,2.0,0.3125
includes electric bill my whats ap no is 78107721,25.0,"Al Hamriyah, Muscat•",10.0,1.0,1.0,2.5
شقه للايجار ف نزوى قريب السوق,110.0,"Nizwa, Al Dakhiliya•",80.0,2.0,2.0,1.375
Room for rent,55.0,"Muscat - Other, Muscat•",3358.0,1.0,1.0,0.016378796902918404
سوق السيب,200.0,"Al Seeb, Muscat•",60.0,2.0,2.0,3.3333333333333335
Bed space,25.0,"Ruwi, Muscat•",100.0,1.0,2.0,0.25
stodio flat at alkhwier near sager hospital,135.0,"Al Khuwair, Muscat•",75.0,1.0,1.0,1.8
شقق متوفره في عوقد,50.0,"Salalah, Dhofar•",10.0,2.0,3.0,5.0
3 BHK Flat for Rent in CBD Area RUWI Muscat,275.0,"Ruwi, Muscat•",150.0,3.0,3.0,1.8333333333333333
Office space for Rent in Al Khuwair,550.0,"Al Khuwair, Muscat•",120.0,2.0,2.0,4.583333333333333
استراحة في ايتين موقع مميز,50.0,"Salalah, Dhofar•",200.0,1.0,1.0,0.25
موالح جنوبيه,525.0,"Al Mawaleh, Muscat•",300.0,5.0,5.0,1.75
بوهيمي شالية,50.0,"Al Amarat, Muscat•",300.0,2.0,2.0,0.16666666666666666
شقة  للايجار( المعبيله الجنوبيه),150.0,"Al Maabilah, Muscat•",108.0,3.0,3.0,1.3888888888888888
خريف صلالة٢٠٢٥,65.0,"Salalah, Dhofar•",130.0,2.0,2.0,0.5
شاليه للإيجار اليومي جنوب الباطنه بركاء,50.0,"Barka, Al Batinah•",315.0,4.0,4.0,0.15873015873015872
Stylish Apartment with Opera & Ocean Views – Available Now in Al Qurum,400.0,"Qurum, Muscat•",125.0,2.0,2.0,3.2
Spacious commercial villa At Madinat Qaboos,1500.0,"Madinat As Sultan Qaboos, Muscat•",200.0,4.0,7.0,7.5
room for rent in Alhail,130.0,"Al Hail, Muscat•",30.0,1.0,1.0,4.333333333333333
Room for rent Alkuwair near children's park. Exicutive Batchelder only,120.0,"Al Khuwair, Muscat•",15.0,1.0,1.0,8.0
room for rent in Alhail,85.0,"Al Hail, Muscat•",25.0,1.0,1.0,3.4
Room for Rent,95.0,"Al Mawaleh, Muscat•",12.0,1.0,1.0,7.916666666666667
room for rent for bachelor lady,110.0,"Al Ghubrah, Muscat•",150.0,2.0,3.0,0.7333333333333333
فيلا مستقلة للإيجار اليومي بصحنوت,70.0,"Salalah, Dhofar•",340.0,3.0,4.0,0.20588235294117646
New Villa for Rent in Barka – North Al-Sumhan,400.0,"Barka, Al Batinah•",314.0,6.0,5.0,1.2738853503184713
غرفة في الخوير,85.0,"Al Khuwair, Muscat•",20.0,1.0,1.0,4.25
shared accommodation in Al khuwair,40.0,"Al Khuwair, Muscat•",120.0,3.0,3.0,0.3333333333333333
للإيجار فلا في المعبيلة الثامنة,450.0,"Al Maabilah, Muscat•",330.0,8.0,6.0,1.3636363636363635
غرفه للايجار في العامرات المنطقه الي خلف شل بجنب الولو,70.0,"Al Amarat, Muscat•",100.0,1.0,1.0,0.7
ارض ركنية سكنية للاستثمار بموقع ممتاز بالسعادة,2000.0,"Salalah, Dhofar•",7500.0,2.0,2.0,0.26666666666666666
Qurum Park NEARBY LOCATED BABA SALEEM SHAWARMA COFFEE SHOP ROOM FOR RE,79.0,"Qurum, Muscat•",66.0,1.0,1.0,1.196969696969697
منزل ٣ غرف ٣حمامات صالة ومطبخ مفروش بالوادي,35.0,"Salalah, Dhofar•",450.0,3.0,3.0,0.07777777777777778
3÷1 bedrooms in Al seeb,550.0,"Al Seeb, Muscat•",250.0,5.0,4.0,2.2
شقه للايجار غرفتين في صحلنوت السعر 25 ريال,2500.0,"Salalah, Dhofar•",90.0,2.0,2.0,27.77777777777778
شقة للايجار 35 ريال,50.0,"Salalah, Dhofar•",300.0,1.0,3.0,0.16666666666666666
محل تجاري في الهمبار للايجار,60.0,"Sohar, Al Batinah•",18.0,2.0,2.0,3.3333333333333335
محلات,370.0,"Al Maabilah, Muscat•",800.0,2.0,2.0,0.4625
1 bed space available in wadi adai big room with attached wahsroom,25.0,"Al Hamriyah, Muscat•",1000.0,1.0,1.0,0.025
عوقد الشماليه,50.0,"Salalah, Dhofar•",120.0,2.0,3.0,0.4166666666666667
35 OR شقة للايجار في الدهاريز الجنوبية صلالة,50.0,"Salalah, Dhofar•",85.0,2.0,2.0,0.5882352941176471
3bhk flat near badr al sama mabella 91112573,200.0,"Al Maabilah, Muscat•",100.0,3.0,3.0,2.0
شقة فاخرة للايجار مسقط هيلز the pearl muscat,320.0,"Muscat Hills, Muscat•",73.0,2.0,1.0,4.383561643835616
ڤلة جديدة للإيجار في الباطنة صحار,280.0,"Sohar, Al Batinah•",170.0,4.0,4.0,1.6470588235294117
شقة مفروشة للإيجار في صلالة الجديدة,50.0,"Salalah, Dhofar•",100.0,2.0,3.0,0.5
House fully renovated for rent in al Ghubrah South,600.0,"Bosher, Muscat•",190.0,3.0,3.0,3.1578947368421053
Sharing room near Rusayl garden for South indian Bachelors .,60.0,"Al Mawaleh, Muscat•",700.0,1.0,1.0,0.08571428571428572
"New villas for rent in Al Khuwairiyah, close to Sohar Port",230.0,"Sohar, Al Batinah•",200.0,3.0,3.0,1.15
ONE Room for rent in a nice villa for a SINGLE profesional,150.0,"Al Hail, Muscat•",300.0,4.0,4.0,0.5
"2 & 3 bhk flat for rent in alkhuwair, Qurum",270.0,"Al Khuwair, Muscat•",150.0,2.0,2.0,1.8
Office  store & showroom for rent in Alkhuwair & shatil qurum,400.0,"Al Khuwair, Muscat•",200.0,2.0,2.0,2.0
شقة مفروشة للإيجار الشهري في السيب,90.0,"Al Seeb, Muscat•",90.0,1.0,1.0,1.0
1bhk full furnished flat for rent,300.0,"Bosher, Muscat•",65.0,2.0,1.0,4.615384615384615
شقة عائلية للإيجار,70.0,"Salalah, Dhofar•",250.0,4.0,4.0,0.28
شقق وفلل للإيجار,50.0,"Salalah, Dhofar•",200.0,3.0,3.0,0.25
Bad space available,22.0,"Al Ghubrah, Muscat•",200.0,1.0,1.0,0.11
Big Furnished rooms Studio 1BHK flats near Makkah hypkt lulu just120,120.0,"Al Ghubrah, Muscat•",5200.0,1.0,1.0,0.023076923076923078
"Furnished rooms 120 studio 150 1bhk 180, 200 lulu Makah hypmkt Ghubra",120.0,"Al Ghubrah, Muscat•",6000.0,2.0,1.0,0.02
Fully Furnished Apartment with 2-bed space Avilable excutive Bachelors,65.0,"Ghala, Muscat•",75.0,2.0,3.0,0.8666666666666667
LAND COMMERCIAL RENT in BARKA,1500.0,"Barka, Al Batinah•",30000.0,2.0,2.0,0.05
مطلوب للشراء بناية عبارة محلات تجارية ومكاتب,500000.0,"Al Seeb, Muscat•",100000.0,2.0,2.0,5.0
شقة للايجار معبيلة جنب دوار الصفاء موقع ممتاز,160.0,"Al Maabilah, Muscat•",100.0,2.0,2.0,1.6
1BHK for Rent in Shaden Alhail شقة غرفة وصالة للإيجار في شدن الحيل,220.0,"Al Hail, Muscat•",1000.0,2.0,1.0,0.22
1BHK Apartment in Shaden Al Hail Complex,200.0,"Al Hail, Muscat•",121.0,2.0,2.0,1.6528925619834711
للإيجار: غرف للموظفات فقط,120.0,"Al Khoud, Muscat•",10.0,3.0,3.0,12.0
3 seater Sofa with 2 pilows  for sale immediately 20 OMR last price,20.0,"Al Ghubrah, Muscat•",10.0,1.0,1.0,2.0
room for rent in Maabilah,80.0,"Al Maabilah, Muscat•",40.0,1.0,1.0,2.0
العذيبه الشماليه /مسقط,390.0,"Azaiba, Muscat•",190.0,3.0,3.0,2.0526315789473686
Bedroom for Rent- Unfurnished,150.0,"Al Khuwair, Muscat•",20.0,1.0,1.0,7.5
غرف مفروشه واستوديوهات غير مفروشه الموالح الجنوبيه,120.0,"Al Seeb, Muscat•",30.0,1.0,1.0,4.0
فيلا راااااقية  الموقع والخدمات بالسعادة الجنوبية,90.0,"Salalah, Dhofar•",400.0,5.0,5.0,0.225
فيلا روووووعة الموقع والخدمات,90.0,"Salalah, Dhofar•",400.0,4.0,6.0,0.225
الخوير,50.0,"Al Khuwair, Muscat•",100.0,2.0,2.0,0.5
in Alkhoud Suq bed space available for rent,25.0,"Al Khoud, Muscat•",50.0,1.0,1.0,0.5
Bed space available for rent,25.0,"Al Khoud, Muscat•",50.0,1.0,1.0,0.5
مطلوب بيت للايجار,200.0,"Barka, Al Batinah•",300.0,5.0,5.0,0.6666666666666666
شقة للإيجار خريف صلالة,50.0,"Salalah, Dhofar•",130.0,2.0,2.0,0.38461538461538464
Flat for rent excellent location in Ruwi,180.0,"Ruwi, Muscat•",110.0,3.0,2.0,1.6363636363636365
single room available in gala near Al karama hyper market,105.0,"Bosher, Muscat•",50.0,1.0,1.0,2.1
Wadi Adair Semi Furnish Room For Single Working Lady,80.0,"Ruwi, Muscat•",25.0,1.0,1.0,3.2
room available in mwalah shooq,75.0,"Al Mawaleh, Muscat•",123.0,1.0,1.0,0.6097560975609756
فله للإيجار,888.0,"Salalah, Dhofar•",660.0,9.0,9.0,1.3454545454545455
Hawana Salalah One Bedroom Apartment For 60 per day,350.0,"Taqah, Dhofar•",65.0,1.0,1.0,5.384615384615385
صحلنوت أ فله راقيه  للإيجار خريف صلاله,140.0,"Salalah, Dhofar•",400.0,6.0,5.0,0.35
"For Rent - 2-bedroom duplex home behind Indian School, Al Mabelah.",190.0,"Al Maabilah, Muscat•",150.0,2.0,2.0,1.2666666666666666
Single furnished Room for rent,100.0,"Al Khuwair, Muscat•",10.0,1.0,1.0,10.0
5 Bedroom with Majlis Commercial Villa for Rent at Shatti AL Qurum,1300.0,"Qurum, Muscat•",325.0,2.0,2.0,4.0
Room with attached washroom,60.0,"Azaiba, Muscat•",10.0,1.0,1.0,6.0
ملحق الايجار في السيب,220.0,"Al Seeb, Muscat•",100.0,3.0,3.0,2.2
Furnish Room For Single Bachlor Rent 95 Wadi Kabir,95.0,"Al Wadi Al Kabir, Muscat•",30.0,1.0,1.0,3.1666666666666665
فيلا دورين الدور الارضى لتاجير,150.0,"Salalah, Dhofar•",300.0,4.0,4.0,0.5
Partation room for rent,80.0,"Al Khuwair, Muscat•",45.0,1.0,1.0,1.7777777777777777
Azaiba villa,600.0,"Azaiba, Muscat•",500.0,5.0,4.0,1.2
sharing room,65.0,"Al Wadi Al Kabir, Muscat•",250.0,1.0,1.0,0.26
جنوب الباطنة . بركاء,50.0,"Barka, Al Batinah•",200.0,2.0,4.0,0.25
villa for rent in Mawaleh- Seeb,550.0,"Al Mawaleh, Muscat•",601.0,6.0,5.0,0.9151414309484193
Room for rent in Al Hail near shell and muscat pharmacy,100.0,"Al Hail, Muscat•",140.0,1.0,1.0,0.7142857142857143
غرفه مع حمام ولوبي مطل ع البحر,18.0,"Ja'Alan Bani Bu Ali, Al Sharqiya•",40.0,1.0,1.0,0.45
غرفة وحمام بالخوير خلف مجمع الياسمين وقريب لندن,130.0,"Al Khuwair, Muscat•",45.0,1.0,1.0,2.888888888888889
Room for rent,125.0,"Sadab, Muscat•",20.0,1.0,1.0,6.25
mob 91230475 Alamerat cheapest shops for rent,55.0,"Al Amarat, Muscat•",18.0,2.0,2.0,3.0555555555555554
غرف وشقق واستديوهات مفروش وبدون فرش بالخوير٣٣خلف مطعم الضيعه اللبنانيه,110.0,"Al Khuwair, Muscat•",60.0,1.0,1.0,1.8333333333333333
Room for rent opposite Ceasar hotel in al Khuwair,120.0,"Al Khuwair, Muscat•",10.0,1.0,1.0,12.0
Room with attached toilet for rent opposite Ceasar hotel Al Khuwair,160.0,"Al Khuwair, Muscat•",160.0,1.0,1.0,1.0
مكان  قرب الموج الموالح الشماليه,180.0,"Al Seeb, Muscat•",120.0,1.0,1.0,1.5
bed space available,30.0,"Ruwi, Muscat•",60.0,1.0,1.0,0.5
غـرفـة للايجار في المعبيلة الجنوبية,100.0,"Al Seeb, Muscat•",20.0,1.0,1.0,5.0
Big Size double room  for rent غرفة مزدوجة كبيرة الحجم متاحة للإيجار,90.0,"Al Khoud, Muscat•",30.0,1.0,1.0,3.0
منزل للايجار سيح ظبي ٣,140.0,"Al Amarat, Muscat•",350.0,1.0,2.0,0.4
استديو عائلي في وادي عدي Family studio in wadi adai 60 OMR,60.0,"Mutrah, Muscat•",65.0,1.0,2.0,0.9230769230769231
مركز العذيبة العقاري,1000.0,"Bidbid, Al Dakhiliya•",4000.0,2.0,2.0,0.25
غرفة للايجار بجوار ابو طحنون صحلنوت الشماليه,50.0,"Salalah, Dhofar•",60.0,1.0,1.0,0.8333333333333334
