title,price,location,area,bathrooms,bedrooms,log_price,log_area
madinat al ilam | spacious 4+1 bedroom townhouse,650.0,"madinat as sultan qaboos, muscat",300.0,6.0,4.0,6.478509642208569,5.707110264748875
one room in darsait free wifi(b3222),85.0,"darsait, muscat",35.0,1.0,1.0,4.454347296253507,3.58351893845611
excellent 4+1 br br townhouses for rent in madinatl al illam,650.0,"madinat as sultan qaboos, muscat",300.0,5.0,5.0,6.478509642208569,5.707110264748875
bosher al muna | modern 3+1br townhouse with private pool,800.0,"bosher, muscat",300.0,5.0,4.0,6.68586094706836,5.707110264748875
apartment for rent \ sale  in al qurum,320.0,"qurum, muscat",130.0,3.0,2.0,5.771441123130016,4.875197323201151
mq | excellent 5+1 br villa,850.0,"madinat as sultan qaboos, muscat",300.0,6.0,5.0,6.7464121285733745,5.707110264748875
al mouj  fully furnished 2bhk apartment with free wifi for rent,849.0,"the wave (almouj), muscat",180.0,2.0,2.0,6.745236349484363,5.198497031265826
qurum | deluxe 2bhk apartment for rent,449.0,"qurum, muscat",145.0,2.0,2.0,6.1092475827643655,4.983606621708336
ghala | 2200 sqm warehouse in prime location,340.0,"ghala, muscat",2200.0,2.0,2.0,5.831882477283517,7.696667081526462
1bhk near almouj free wifi (b173),200.0,"al mawaleh, muscat",85.0,2.0,1.0,5.303304908059076,4.454347296253507
6bhk villa alkhoud free wifi ( one family only),480.0,"al khoud, muscat",300.0,6.0,6.0,6.175867270105761,5.707110264748875
adv1003** well maintained 4bhk+maid villa for rent in madinat sultan q,750.0,"madinat as sultan qaboos, muscat",425.0,6.0,4.0,6.621405651764134,6.054439346269371
adv066**2bhk apartment for rent in bausher,300.0,"bosher, muscat",90.0,2.0,2.0,5.707110264748875,4.51085950651685
excellent 2 br apartment in al khuwair,280.0,"al khuwair, muscat",105.0,2.0,2.0,5.638354669333745,4.663439094112067
muscat hills | furnished 1 bhk apartment,450.0,"muscat hills, muscat",85.0,2.0,1.0,6.111467339502679,4.454347296253507
luxurious furnished 4+1 br villa available for rent in mabela,600.0,"al maabilah, muscat",300.0,6.0,5.0,6.398594934535208,5.707110264748875
commercial space for rent – prime road-front location in bosher!,340.0,"bosher, muscat",110.0,2.0,2.0,5.831882477283517,4.709530201312334
beautiful 4+1 br villa available for qurum,700.0,"qurum, muscat",330.0,6.0,5.0,6.55250788703459,5.802118375377063
95sqm office  in mabila3,250.0,"al maabilah, muscat",95.0,2.0,2.0,5.5254529391317835,4.564348191467836
2bhk in ruwi (b71),120.0,"ruwi, muscat",100.0,2.0,2.0,4.795790545596741,4.61512051684126
fully furnished 2 bedrooms apartment in almouj muscat,800.0,"the wave (almouj), muscat",130.0,2.0,2.0,6.68586094706836,4.875197323201151
fully furnished commercial space for rent – al khuwair,340.0,"al khuwair, muscat",140.0,2.0,2.0,5.831882477283517,4.948759890378168
fully furnished 1 br apartment,330.0,"al ghubrah, muscat",85.0,1.0,1.0,5.802118375377063,4.454347296253507
shop for rent,340.0,"al khoud, muscat",94.0,2.0,2.0,5.831882477283517,4.553876891600541
للايجار شقه للعوائل في مرتفعات غلاء 2bhk for rent,260.0,"ghala, muscat",100.0,3.0,2.0,5.564520407322694,4.61512051684126
"brand new shop for rent – al hail, near the sea",460.0,"al hail, muscat",23.0,2.0,2.0,6.133398042996649,3.1780538303479458
office space for rent – prime location in al khuwair,700.0,"al khuwair, muscat",200.0,2.0,2.0,6.55250788703459,5.303304908059076
luxury duplex 3+1 bhk for rent in mq on ground floor,850.0,"madinat as sultan qaboos, muscat",200.0,4.0,3.0,6.7464121285733745,5.303304908059076
brand new fully furnished  2 bedrooms apartment for rent,375.0,"ghala, muscat",100.0,3.0,2.0,5.929589143389895,4.61512051684126
مكتب للإيجار في مكان مميز في انصب,285.0,"ansab, muscat",55.5,2.0,2.0,5.655991810819852,4.034240638152395
the qube – retail shops for rent,340.0,"al ghubrah, muscat",140.0,2.0,2.0,5.831882477283517,4.948759890378168
limited opportunities 1 bhk for rent in azaiba suqoon,325.0,"azaiba, muscat",100.0,2.0,1.0,5.786897381366708,4.61512051684126
brand new 2bhk huge terrace parking next to qatar airways,425.0,"ghala, muscat",105.0,2.0,2.0,6.054439346269371,4.663439094112067
retail opportunities at ghala heights complex,340.0,"ghala, muscat",324.36,2.0,2.0,5.831882477283517,5.78493226159897
